Gene,Rank
OR7A8P,5.00421764315343e-07
AIFM1P1,4.998815032401113e-07
TRAV26-1,4.996059708168987e-07
AL365184.1,4.989081993757208e-07
LDHC,4.975804638868185e-07
AC083841.1,4.961078841318515e-07
AC022081.1,4.951822381838535e-07
AC073172.1,4.94634599216807e-07
AC016766.1,4.941051923738025e-07
PADI6,4.939191312449735e-07
THEM7P,4.93861745340493e-07
AC068413.1,4.936344611936481e-07
LINC01322,4.93484593911575e-07
GRIFIN,4.932649013127543e-07
GATA5,4.932526795124489e-07
AC103796.1,4.931717428274147e-07
AC145141.1,4.931717428274147e-07
ARPP19P1,4.917557025576068e-07
AC011466.2,4.917044652339062e-07
AP004247.2,4.914419434740526e-07
AGR2,4.912168035937544e-07
MKX-AS1,4.907387234969185e-07
AC084335.1,4.903318363681945e-07
AP000365.1,4.902714044836869e-07
Z97192.4,4.894085019325556e-07
TRPM2-AS,4.889202665551215e-07
OR5H2,4.886422634935763e-07
LIN28AP1,4.880973565504557e-07
LINC00525,4.880401678682472e-07
TDH-AS1,4.876702079005291e-07
AC006974.1,4.876495463319697e-07
RNU4-27P,4.867395105905087e-07
DNM1P51,4.864894688808083e-07
AL133329.1,4.8583695155953e-07
AP001893.3,4.842703262146358e-07
RNA5SP497,4.83580729106839e-07
AC064805.2,4.831178766414986e-07
SLC6A14P2,4.814190785357729e-07
CYP1A2,4.814070015240402e-07
AC008083.2,4.813300593272682e-07
MIR548AQ,4.812060275409859e-07
AL805961.1,4.808836210167538e-07
SHANK2-AS1,4.806537619222645e-07
AL359853.1,4.800344195611578e-07
RNF7P1,4.798677990198297e-07
LINC01975,4.798677990198297e-07
COX6CP7,4.795614823856613e-07
AC125421.1,4.793630341529311e-07
RPS27AP17,4.790533962943742e-07
MIR558,4.789620864283039e-07
RPS26P43,4.789409671046998e-07
MIR4755,4.7851028366566e-07
ZDHHC20P2,4.783415185095404e-07
OR2A3P,4.781237138072514e-07
TMEM212,4.7680587271191775e-07
AL138749.1,4.765335921743591e-07
RNU6-1306P,4.764016203857584e-07
LINC01659,4.7614718096571335e-07
BMS1P12,4.751481992423234e-07
FBP2,4.7494239188960915e-07
ANKRD20A17P,4.745494750193242e-07
MIR126,4.7400816277930816e-07
C3orf56,4.7286781814730665e-07
OR2F1,4.726219589812319e-07
AC009487.1,4.721618173675594e-07
RSL24D1P2,4.719009228614118e-07
RNU6-103P,4.717621573463723e-07
AC093898.1,4.714606543928576e-07
AP001554.1,4.7114026826050767e-07
AP001790.1,4.7093042857952513e-07
MIR8089,4.7004968592440165e-07
RN7SL541P,4.698780099848692e-07
CYCSP20,4.6984433218708774e-07
PGBD4P2,4.6984433218708774e-07
RNU1-64P,4.6984433218708774e-07
EIF3MP1,4.697415905575653e-07
OR5AO1P,4.6961314741396683e-07
OPALIN,4.693017680432099e-07
MIR6739,4.6835113648597454e-07
ZNRF2P3,4.6830657407061545e-07
AC007922.3,4.673951711980963e-07
AC112487.1,4.672623145649667e-07
AC096589.2,4.670726902492587e-07
TMED10P2,4.669081914300231e-07
AL359458.1,4.668680800957865e-07
LINC00461,4.65735176119539e-07
AC122697.1,4.6546966593763403e-07
RN7SL300P,4.650153163671384e-07
AC012354.1,4.641275898534708e-07
MIR3158-2,4.6371367315306796e-07
RN7SL417P,4.635954724267419e-07
PF4V1,4.635009471860492e-07
AC112504.3,4.6322874792890663e-07
CHP2,4.623022163932122e-07
PAFAH1B1P1,4.6215018163559496e-07
EGFLAM-AS4,4.6202073371650656e-07
C11orf97,4.604585655493785e-07
AC104781.2,4.6042873871646825e-07
AL358334.1,4.602340374752245e-07
HSPD1P16,4.601541659934336e-07
URAD,4.6005361389231646e-07
IL17F,4.5994409747986943e-07
HCFC2P1,4.5931833139031055e-07
MIR4490,4.5884557658311506e-07
HTR2C,4.588054336821179e-07
TRDV1,4.587254255193517e-07
TRAJ34,4.5853260038471895e-07
AC103996.3,4.5853150989930037e-07
RNU6-806P,4.5804165670792384e-07
MIR98,4.577442335743368e-07
CICP12,4.57221314768358e-07
PPIAP19,4.57101322134579e-07
MIR4641,4.5660703634374255e-07
RNU6-452P,4.564985897301596e-07
MTATP6P10,4.564985897301596e-07
LINC01726,4.564985897301596e-07
LINC02839,4.5617488854052183e-07
LINC01455,4.557020817053296e-07
AP001085.1,4.5538821433323815e-07
RNU6-953P,4.552895642496552e-07
TUBAL3,4.547432617087043e-07
MIR548AL,4.5346739974765564e-07
L1CAM-AS1,4.5345391952976914e-07
AC018742.1,4.531014506570257e-07
MIR1255A,4.5280141026493556e-07
TRBV14,4.5249289571866057e-07
TRAJ54,4.5235828587382924e-07
RNU6ATAC38P,4.52134122720139e-07
RNU6-68P,4.521028909940641e-07
AP005242.5,4.520378071290325e-07
CCKAR,4.5152840805934796e-07
NMS,4.512880254637881e-07
NEPNP,4.512705622008682e-07
RN7SL596P,4.511819263920457e-07
VN1R54P,4.511711888708502e-07
CPA6,4.5084327144620434e-07
RPL7P50,4.507732291170515e-07
DPYSL5,4.5067618940270583e-07
AP002528.1,4.506167427629262e-07
KC877982.1,4.500835105330889e-07
LINC01892,4.50078872688885e-07
SPCS2P3,4.497562625500135e-07
NCAN,4.489021234614648e-07
RPL7AP29,4.4870655459981033e-07
AC098969.1,4.4853018626847397e-07
MIR3158-1,4.482357855603913e-07
RNU6-1234P,4.482357855603913e-07
AC093458.1,4.482313693957975e-07
PCDH11X,4.4796718459861307e-07
RN7SKP76,4.4776069678825846e-07
AC005888.1,4.476157500592442e-07
MIR4728,4.4751368605025557e-07
RNA5SP466,4.471219864498131e-07
OR51A7,4.4711669080699185e-07
APOOP1,4.4707025614955e-07
MIR4654,4.4643220614413056e-07
RN7SL835P,4.462348354831529e-07
AL162574.1,4.46216948737794e-07
AC024022.1,4.4598481800684575e-07
MICOS10P3,4.4598184226318165e-07
NUP50P1,4.456304269174368e-07
CAPN13,4.44824025565347e-07
MIR6852,4.446610529470965e-07
FATE1,4.443836041386735e-07
RNU4-68P,4.436323798143402e-07
RN7SL619P,4.436253492359594e-07
AL354824.2,4.4320716126107406e-07
RN7SL435P,4.4294384880437187e-07
LINC00895,4.4279337739253474e-07
RNU6-307P,4.4271207206004487e-07
AP003969.1,4.4267928105393956e-07
MIR3657,4.416289839603321e-07
AC005042.2,4.414164677963571e-07
LRRC37A11P,4.4127158588145913e-07
LINC02562,4.412103970216622e-07
DKK4,4.409702841470688e-07
CYTH1P1,4.408032057256788e-07
EFNB3,4.403380227359292e-07
AC093791.1,4.399394815765336e-07
AC024941.1,4.3979918676190817e-07
AC013472.2,4.3942451938769347e-07
RNU4-34P,4.392088061480757e-07
ANKRD33B-AS1,4.3903040053255307e-07
RPSAP20,4.3844244800090457e-07
CYP4F24P,4.3801960016434147e-07
AC104836.1,4.3772789324573656e-07
